title,production_cost,domestic_gross,worldwide_gross,opening_weekend,mpaa,genre,theaters,runtime,year,Group
Avengers: Endgame,400000000,858373000,2797800564,357115007.0,PG-13,Action,4662.0,181.0,2019,1
Pirates of the Caribbean: On Stranger Tides,379000000,241071802,1045713802,90151958.0,PG-13,Adventure,4164.0,136.0,2011,1
Avengers: Age of Ultron,365000000,459005868,1395316979,191271109.0,PG-13,Action,4276.0,141.0,2015,1
Star Wars Ep. VII: The Force Awakens,306000000,936662225,2064615817,247966675.0,PG-13,Adventure,4134.0,136.0,2015,1
Avengers: Infinity War,300000000,678815482,2048359754,257698183.0,PG-13,Action,4474.0,156.0,2018,1
Pirates of the Caribbean: At World’s End,300000000,309420425,960996492,114732820.0,PG-13,Adventure,4362.0,167.0,2007,1
Justice League,300000000,229024295,655945209,93842239.0,PG-13,Action,4051.0,121.0,2017,1
Spectre,300000000,200074175,879500760,70403148.0,PG-13,Action,3929.0,148.0,2015,1
Star Wars: The Rise of Skywalker,275000000,515202542,1072848487,177383864.0,PG-13,Adventure,4406.0,142.0,2019,1
Solo: A Star Wars Story,275000000,213767512,393151347,84420489.0,PG-13,Adventure,4381.0,135.0,2018,1
John Carter,263700000,73058679,282778100,30180188.0,PG-13,Adventure,3749.0,132.0,2012,2
Batman v Superman: Dawn of Justice,263000000,330360194,872395091,166007347.0,PG-13,Action,4256.0,151.0,2016,1
Star Wars Ep. VIII: The Last Jedi,262000000,620181382,1331635141,220009584.0,PG-13,Adventure,4232.0,150.0,2017,1
The Lion King,260000000,543638043,1647778651,191770759.0,PG,Adventure,4802.0,118.0,2019,1
Tangled,260000000,200821936,583777242,48767052.0,PG,Musical,3603.0,101.0,2010,2
Spider-Man 3,258000000,336530303,894860230,151116516.0,PG-13,Adventure,4324.0,139.0,2007,1
Captain America: Civil War,250000000,408084349,1151918521,179139142.0,PG-13,Action,4226.0,146.0,2016,1
Thor: Love and Thunder,250000000,343256830,745453552,144165107.0,PG-13,Action,4375.0,119.0,2022,1
Harry Potter and the Half-Blood Prince,250000000,302089278,929411069,77835727.0,PG,Adventure,4455.0,153.0,2009,2
The Hobbit: The Desolation of Smaug,250000000,258241522,959358436,73645197.0,PG-13,Adventure,3928.0,201.0,2013,2
The Hobbit: The Battle of the Five Armies,250000000,255119788,940389558,54724334.0,PG-13,Adventure,3875.0,144.0,2014,2
The Fate of the Furious,250000000,225764765,1236703796,98786705.0,PG-13,Action,4329.0,136.0,2017,1
No Time to Die,250000000,160891007,760008036,55225007.0,PG-13,Action,4407.0,163.0,2021,2
Avatar,237000000,785221649,2910370905,77025481.0,PG-13,Action,3461.0,162.0,2009,2
Superman Returns,232000000,200120000,391081192,52535096.0,PG-13,Adventure,4065.0,150.0,2006,2
The Dark Knight Rises,230000000,448139099,1082228107,160887295.0,PG-13,Action,4404.0,164.0,2012,1
Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,794861794,62983253.0,PG-13,Adventure,4276.0,135.0,2017,2
Quantum of Solace,230000000,169368427,591692078,67528882.0,PG-13,Action,3501.0,106.0,2008,2
The Avengers,225000000,623357910,1515100211,207438708.0,PG-13,Action,4349.0,143.0,2012,1
Pirates of the Caribbean: Dead Man’s Chest,225000000,423315812,1066179725,135634554.0,PG-13,Adventure,4133.0,151.0,2006,1
Man of Steel,225000000,291045518,667999518,116619362.0,PG-13,Action,4207.0,142.0,2013,1
The Chronicles of Narnia: Prince Caspian,225000000,141621490,417341288,55034805.0,PG,Adventure,3929.0,144.0,2008,2
The Lone Ranger,225000000,89302115,260002115,29210849.0,PG-13,Western,3904.0,149.0,2013,2
The Amazing Spider-Man,220000000,262030663,757890267,62004688.0,PG-13,Adventure,4318.0,136.0,2012,2
Battleship,220000000,65233400,313477717,25534825.0,PG-13,Action,3702.0,130.0,2012,2
Transformers: The Last Knight,217000000,130168683,602893340,44680073.0,PG-13,Action,4132.0,148.0,2017,2
Jurassic World,215000000,652306625,1669979967,208806270.0,PG-13,Action,4291.0,124.0,2015,1
Men in Black 3,215000000,179020854,654213485,54592779.0,PG-13,Adventure,4248.0,104.0,2012,2
Transformers: Revenge of the Fallen,210000000,402111870,836519699,108966307.0,PG-13,Action,4293.0,149.0,2009,1
Transformers: Age of Extinction,210000000,245439076,1104054072,100038390.0,PG-13,Action,4233.0,165.0,2014,2
X-Men: The Last Stand,210000000,234362462,459260946,102750665.0,PG-13,Action,3714.0,104.0,2006,2
Robin Hood,210000000,105487148,322459006,36063385.0,PG-13,Action,3505.0,139.0,2010,2
King Kong,207000000,218080025,550517357,50130145.0,PG-13,Adventure,3627.0,189.0,2005,2
The Golden Compass,205000000,70107728,367262558,25783232.0,PG-13,Adventure,3528.0,113.0,2007,2
Tenet,205000000,58504105,362450957,20001852.0,PG-13,Action,2930.0,110.0,2020,2
Spider-Man: No Way Home,200000000,814108407,1912775610,260138569.0,PG-13,Action,4336.0,148.0,2021,1
Black Panther,200000000,700059566,1336494321,202003951.0,PG-13,Action,4084.0,120.0,2018,1
Titanic,200000000,659363944,2207986545,28638131.0,PG-13,Drama,3265.0,194.0,1997,2
Incredibles 2,200000000,608581744,1242805359,182687905.0,PG,Adventure,4413.0,118.0,2018,1
Rogue One: A Star Wars Story,200000000,533539991,1055083596,155081681.0,PG-13,Adventure,4157.0,134.0,2016,1
Finding Dory,200000000,486295561,1025006125,135060273.0,PG,Adventure,4305.0,103.0,2016,1
Toy Story 4,200000000,434038008,1073080329,120908065.0,G,Adventure,4575.0,89.0,2019,1
Toy Story 3,200000000,415004880,1068879522,110307189.0,G,Adventure,4028.0,102.0,2010,1
Doctor Strange in the Multiverse of Madness,200000000,411331607,952224986,187420998.0,PG-13,Action,4534.0,126.0,2022,1
Iron Man 3,200000000,408992272,1215392272,174144585.0,PG-13,Action,4253.0,130.0,2013,1
Guardians of the Galaxy Vol 2,200000000,389813101,869113101,146510104.0,PG-13,Action,4347.0,136.0,2017,1
Spider-Man 2,200000000,373524485,794697557,88156227.0,PG-13,Adventure,4166.0,127.0,2004,2
The Batman,200000000,369345583,767820302,134008624.0,PG-13,Action,4417.0,175.0,2022,1
Alice in Wonderland,200000000,334191110,1025491110,116101023.0,PG,Adventure,3739.0,108.0,2010,1
Skyfall,200000000,304360277,1110526981,88364714.0,PG-13,Action,3526.0,143.0,2012,2
The Hobbit: An Unexpected Journey,200000000,303003568,1014938545,84617303.0,PG-13,Adventure,4100.0,169.0,2012,2
Monsters University,200000000,268488329,743455810,82429469.0,G,Adventure,4004.0,102.0,2013,2
Oz the Great and Powerful,200000000,234770996,490359051,79110453.0,PG,Adventure,3912.0,130.0,2013,2
X-Men: Days of Future Past,200000000,233921534,747862775,90823660.0,PG-13,Action,4001.0,131.0,2014,2
The Amazing Spider-Man 2,200000000,202853933,708996336,91608337.0,PG-13,Action,4324.0,141.0,2014,2
Cars 2,200000000,191450875,560155383,66135507.0,G,Adventure,4115.0,107.0,2011,2
Black Widow,200000000,183651655,379751655,80366312.0,PG-13,Action,4275.0,133.0,2021,2
Fast & Furious Presents: Hobbs & Shaw,200000000,173956935,760381706,60038950.0,PG-13,Action,4344.0,134.0,2019,2
F9: The Fast Saga,200000000,173005945,721077945,70043165.0,PG-13,Action,4203.0,145.0,2021,2
Tron: Legacy,200000000,172062763,399866199,44026211.0,PG,Adventure,3451.0,125.0,2010,2
2012,200000000,166112167,757677748,65237614.0,PG-13,Action,3444.0,158.0,2009,2
Eternals,200000000,164870264,402064929,71297219.0,PG-13,Action,4090.0,156.0,2021,2
Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,648455339,62163104.0,PG-13,Adventure,4163.0,134.0,2018,2
Terminator Salvation,200000000,125322469,365491792,42558390.0,PG-13,Action,3602.0,116.0,2009,2
Lightyear,200000000,118307188,218571346,50577961.0,PG,Adventure,4255.0,110.0,2022,2
Jungle Cruise,200000000,116987516,210384144,35018731.0,PG-13,Adventure,4310.0,90.0,2021,2
Green Lantern,200000000,116601172,219535492,53174303.0,PG-13,Action,3816.0,113.0,2011,2
Fantastic Beasts: The Secrets of Dumbledore,200000000,95850844,404560146,42151256.0,PG-13,Adventure,4245.0,122.0,2022,2
Prince of Persia: Sands of Time,200000000,90759676,336359676,30095259.0,PG-13,Action,3646.0,115.0,2010,2
Dark Phoenix,200000000,65845974,246356895,32828348.0,PG-13,Action,3721.0,114.0,2019,2
Onward,200000000,61555145,133317030,39119861.0,PG,Adventure,4310.0,114.0,2020,2
Wonder Woman 1984,200000000,46801036,166360232,16701957.0,PG-13,Action,2218.0,151.0,2020,2
Mulan,200000000,0,69965374,54292057.0,PG-13,Adventure,3660.0,115.0,2020,2
The Tomorrow War,200000000,0,19220000,54292057.0,PG-13,Action,3660.0,140.0,2021,2
The Gray Man,200000000,0,451178,54292057.0,PG-13,Thriller/Suspense,3660.0,129.0,2022,2
Transformers: Dark of the Moon,195000000,352390543,1123794079,97852865.0,PG-13,Action,4107.0,154.0,2011,2
The Mummy,195000000,80101125,409953905,31668375.0,PG-13,Adventure,4035.0,107.0,2017,2
Jack the Giant Slayer,195000000,65187603,197687603,27202226.0,PG-13,Adventure,3525.0,113.0,2013,2
Furious 7,190000000,353007020,1514553486,147187040.0,PG-13,Action,4022.0,137.0,2015,1
Star Trek Into Darkness,190000000,228778661,467381584,70165559.0,PG-13,Adventure,3907.0,132.0,2013,2
World War Z,190000000,202706711,531861650,66411834.0,PG-13,Action,3607.0,115.0,2013,2
The Great Gatsby,190000000,144840419,353640419,50085184.0,PG-13,Drama,3550.0,141.0,2013,2
Disney’s A Christmas Carol,190000000,137855863,315709697,30051075.0,PG,Drama,3683.0,95.0,2009,2
Pacific Rim,190000000,101802906,411002906,37285325.0,PG-13,Action,3285.0,131.0,2013,2
The Matrix Resurrections,190000000,37686805,156467817,10749011.0,R,Action,3552.0,148.0,2021,2
The Good Dinosaur,187500000,123087120,333771037,39155217.0,PG,Adventure,3749.0,92.0,2015,2
Iron Man,186000000,318604126,585171547,102118668.0,PG-13,Adventure,4154.0,126.0,2008,2
The Dark Knight,185000000,533720947,998615789,158411483.0,PG-13,Action,4366.0,152.0,2008,1
